6 18 6 38 4 4 1 23 0 
6 105 4 30 4 4 1 26 1 
6 118 7 75 4 4 1 26 2 
6 169 3 17 3 3 1 16 3 
6 134 3 19 3 3 1 15 4 
6 32 11 117 7 7 1 49 5 
6 5 6 49 5 5 1 35 6 
6 165 6 48 5 5 1 30 7 
6 46 7 58 3 3 1 18 8 
6 179 4 30 4 4 1 24 9 
6 70 9 81 5 5 1 36 10 
6 20 1 10 1 1 1 7 11 
6 118 3 27 3 3 1 19 12 
6 191 2 11 2 2 1 11 13 
6 99 7 57 4 4 1 23 14 
6 3 3 18 3 3 1 15 15 
6 156 3 20 3 3 1 19 16 
6 10 3 19 3 3 1 17 17 
6 161 4 23 4 4 1 23 18 
6 12 4 24 4 4 1 23 19 
6 117 4 28 4 4 1 25 20 
6 62 6 55 5 5 1 32 21 
6 114 3 19 2 2 1 11 22 
6 10 5 42 5 5 1 34 23 
6 66 2 8 2 2 1 8 24 
6 148 4 34 3 3 1 19 25 
6 188 8 69 6 6 1 42 26 
6 174 6 54 3 3 1 20 27 
6 30 6 55 5 5 1 35 28 
6 172 4 28 3 3 1 19 29 
6 81 6 46 5 5 1 31 30 
6 55 5 46 4 4 1 23 31 
6 142 9 82 6 6 1 38 32 
6 143 11 136 5 5 1 41 33 
6 90 3 21 3 3 1 20 34 
6 165 7 81 4 4 1 29 35 
6 100 7 74 4 4 1 28 36 
6 53 5 47 3 3 1 22 37 
6 70 8 96 3 3 1 21 38 
6 185 3 16 3 3 1 14 39 
6 33 4 34 4 4 1 28 40 
6 157 5 39 3 3 1 18 41 
6 110 3 20 3 3 1 17 42 
6 45 5 24 4 4 1 18 43 
6 2 4 30 3 3 1 22 44 
6 72 8 72 6 6 1 39 45 
6 1 3 26 2 2 1 14 46 
6 101 8 69 6 6 1 38 47 
6 147 6 54 4 4 1 30 48 
6 48 5 39 4 4 1 26 49 
6 40 8 96 5 5 1 40 50 
6 163 6 65 3 3 1 21 51 
6 71 6 57 3 3 1 20 52 
6 106 5 49 5 5 1 35 53 
6 15 5 49 4 4 1 25 54 
6 155 5 42 4 4 1 27 55 
6 150 5 48 3 3 1 19 56 
6 78 5 42 4 4 1 24 57 
6 3 6 47 4 4 1 25 58 
6 190 8 79 5 5 1 36 59 
6 187 7 49 3 3 1 18 60 
6 172 5 44 3 3 1 20 61 
6 130 7 60 5 5 1 36 62 
6 176 7 51 6 6 1 38 63 
6 13 5 30 2 2 1 11 64 
6 144 6 71 4 4 1 29 65 
6 170 1 5 1 1 1 5 66 
6 44 7 54 5 5 1 35 67 
6 54 7 65 5 5 1 37 68 
6 27 11 116 8 8 1 56 69 
6 128 6 50 4 4 1 31 70 
6 152 7 82 5 5 1 38 71 
6 142 6 47 4 4 1 24 72 
6 140 5 43 3 3 1 20 73 
6 38 8 78 4 4 1 28 74 
6 121 3 21 3 3 1 19 75 
6 47 5 31 3 3 1 17 76 
6 117 5 35 4 4 1 23 77 
6 99 4 26 3 3 1 19 78 
6 139 4 29 3 3 1 19 79 
6 20 6 53 4 4 1 30 80 
6 71 4 31 2 2 1 12 81 
6 160 5 40 4 4 1 27 82 
6 141 4 33 2 2 1 14 83 
6 129 7 61 4 4 1 26 84 
6 136 4 28 3 3 1 18 85 
6 25 4 26 3 3 1 19 86 
6 100 1 5 1 1 1 5 87 
6 28 1 7 1 1 1 7 88 
6 183 9 96 4 4 1 28 89 
6 78 5 36 4 4 1 23 90 
6 163 4 25 3 3 1 19 91 
6 120 5 40 3 3 1 19 92 
6 112 6 54 5 5 1 35 93 
6 126 8 81 4 4 1 31 94 
6 53 7 65 5 5 1 36 95 
6 7 4 24 3 3 1 16 96 
6 119 4 31 3 3 1 18 97 
6 53 3 21 3 3 1 18 98 
6 92 9 87 5 5 1 33 99 
6 180 6 49 4 4 1 29 100 
6 21 5 36 5 5 1 30 101 
6 9 6 56 2 2 1 14 102 
6 156 7 62 6 6 1 40 103 
6 73 4 29 3 3 1 19 104 
6 49 4 31 3 3 1 21 105 
6 163 6 56 4 4 1 31 106 
6 91 5 45 3 3 1 19 107 
6 52 4 29 3 3 1 22 108 
6 157 8 78 6 6 1 42 109 
6 109 3 23 2 2 1 13 110 
6 60 10 99 5 5 1 35 111 
6 81 4 27 3 3 1 20 112 
6 89 4 26 3 3 1 17 113 
6 63 6 55 4 4 1 25 114 
6 179 10 114 6 6 1 41 115 
6 75 6 51 5 5 1 32 116 
6 53 4 28 2 2 1 12 117 
6 26 6 56 4 4 1 27 118 
6 161 2 11 2 2 1 10 119 
6 2 8 71 5 5 1 37 120 
6 53 7 58 4 4 1 25 121 
6 118 9 84 5 5 1 35 122 
6 89 8 80 4 4 1 25 123 
6 156 4 28 4 4 1 24 124 
6 175 6 50 2 2 1 16 125 
6 48 7 69 4 4 1 30 126 
6 121 3 16 2 2 1 10 127 
6 8 5 36 4 4 1 26 128 
6 9 7 67 5 5 1 32 129 
6 107 6 43 4 4 1 25 130 
6 130 10 96 5 5 1 35 131 
6 8 7 66 5 5 1 34 132 
6 174 8 103 6 6 1 43 133 
6 151 7 64 4 4 1 29 134 
6 175 8 74 5 5 1 36 135 
6 116 5 55 4 4 1 30 136 
6 122 12 140 5 5 1 38 137 
6 40 6 45 6 6 1 37 138 
6 18 5 38 4 4 1 29 139 
6 163 10 98 5 5 1 37 140 
6 19 7 72 6 6 1 47 141 
6 178 7 58 3 3 1 18 142 
6 18 6 59 4 4 1 25 143 
6 110 9 92 5 5 1 36 144 
6 72 5 51 5 5 1 32 145 
6 124 10 97 6 6 1 45 146 
6 172 6 47 5 5 1 35 147 
6 48 9 80 5 5 1 37 148 
6 5 5 38 4 4 1 24 149 
6 55 5 27 5 5 1 25 150 
6 67 4 28 4 4 1 27 151 
6 39 7 63 4 4 1 26 152 
6 104 4 28 4 4 1 24 153 
6 122 8 63 5 5 1 35 154 
6 39 6 55 5 5 1 29 155 
6 100 5 45 2 2 1 12 156 
6 63 4 27 4 4 1 23 157 
