5,beaconingMessages,36.786,35.4880090281953,38.0839909718047,RMYSMessages,23.313,22.7771163896054,23.8488836103946,PDTMessages,22.313,21.7771163896054,22.8488836103946,PDT1Messages,4.568,4.49040340444581,4.64559659555419,PDTNeighborsRatio,6.20918174603175,6.16257810758495,6.25578538447854,RMYSNeighborsRatio,6.53874047619048,6.49186387582839,6.58561707655257,PDT1NeighborsRatio,1.32955873015873,1.31915134172258,1.33996611859489
6,beaconingMessages,50.544,48.8712458525347,52.2167541474653,RMYSMessages,27.141,26.5494788873164,27.7325211126836,PDTMessages,26.141,25.5494788873164,26.7325211126836,PDT1Messages,4.957,4.87832727485589,5.03567272514411,PDTNeighborsRatio,6.53576785714286,6.48932237125555,6.58221334303017,RMYSNeighborsRatio,6.82459801587301,6.77957767720687,6.86961835453915,PDT1NeighborsRatio,1.28883015873016,1.28040627838129,1.29725403907904
7,beaconingMessages,66.478,64.363014216628,68.592985783372,RMYSMessages,31.099,30.4777041171242,31.7202958828758,PDTMessages,30.098,29.4768302765962,30.7191697234038,PDT1Messages,5.351,5.27023946113107,5.43176053886893,PDTNeighborsRatio,6.86285317460318,6.81661690316497,6.90908944604138,RMYSNeighborsRatio,7.12274166666666,7.07773996168766,7.16774337164567,PDT1NeighborsRatio,1.25974563492064,1.25228916383972,1.26720210600156
8,beaconingMessages,85.596,82.9119198770874,88.2800801229126,RMYSMessages,34.226,33.6143577509374,34.8376422490626,PDTMessages,33.226,32.6143577509374,33.8376422490626,PDT1Messages,5.628,5.55044698313025,5.70555301686975,PDTNeighborsRatio,7.14213968253968,7.09803289467294,7.18624647040642,RMYSNeighborsRatio,7.37847817460317,7.33530408483459,7.42165226437175,PDT1NeighborsRatio,1.2363384920635,1.23099527428457,1.24168170984243
9,beaconingMessages,106.1,102.937198825345,109.262801174655,RMYSMessages,37.142,36.5170278339177,37.7669721660823,PDTMessages,36.139,35.5141881546846,36.7638118453154,PDT1Messages,5.899,5.82033586942958,5.97766413057042,PDTNeighborsRatio,7.35602063492064,7.31329535663197,7.39874591320931,RMYSNeighborsRatio,7.57713373015873,7.53478154865987,7.61948591165759,PDT1NeighborsRatio,1.22055357142858,1.21616574686878,1.22494139598838
10,beaconingMessages,129.247,125.39269401684,133.10130598316,RMYSMessages,39.708,39.0975780329824,40.3184219670176,PDTMessages,38.708,38.0975780329824,39.3184219670176,PDT1Messages,6.097,6.01875717805703,6.17524282194297,PDTNeighborsRatio,7.60178293650794,7.56200432113693,7.64156155187895,RMYSNeighborsRatio,7.8128496031746,7.7726511491029,7.8530480572463,PDT1NeighborsRatio,1.21106666666667,1.20673252043331,1.21540081290003
11,beaconingMessages,150.992,146.877401201704,155.106598798296,RMYSMessages,41.693,41.0781196940529,42.3078803059471,PDTMessages,40.691,40.0761922718521,41.3058077281479,PDT1Messages,6.264,6.18476400914736,6.34323599085264,PDTNeighborsRatio,7.74103787878788,7.70408431532654,7.77799144224922,RMYSNeighborsRatio,7.94450775613275,7.9073439941574,7.98167151810811,PDT1NeighborsRatio,1.20309487734488,1.19946468064193,1.20672507404784
12,beaconingMessages,175.329,170.655910816968,180.002089183032,RMYSMessages,43.052,42.4465620722868,43.6574379277132,PDTMessages,42.052,41.4465620722868,42.6574379277132,PDT1Messages,6.345,6.26843508923795,6.42156491076205,PDTNeighborsRatio,7.88061746031746,7.84399540336268,7.91723951727224,RMYSNeighborsRatio,8.07904642857143,8.04210969061106,8.11598316653179,PDT1NeighborsRatio,1.19842896825397,1.19498510479646,1.20187283171148
13,beaconingMessages,204.415,199.384691110753,209.445308889247,RMYSMessages,44.954,44.382479715168,45.525520284832,PDTMessages,43.95,43.3785482270567,44.5214517729433,PDT1Messages,6.494,6.42014247700877,6.56785752299123,PDTNeighborsRatio,8.02512301587302,7.9918185188269,8.05842751291914,RMYSNeighborsRatio,8.21751428571429,8.18362648546625,8.25140208596232,PDT1NeighborsRatio,1.19168174603175,1.18871093031211,1.19465256175139
14,beaconingMessages,232.83,227.070991964986,238.589008035014,RMYSMessages,45.909,45.309519592555,46.508480407445,PDTMessages,44.908,44.3086772009196,45.5073227990804,PDT1Messages,6.577,6.50068395742965,6.65331604257035,PDTNeighborsRatio,8.07330793650792,8.03842763271761,8.10818824029824,RMYSNeighborsRatio,8.26245396825397,8.22719689732239,8.29771103918555,PDT1NeighborsRatio,1.18903492063493,1.18610296553315,1.1919668757367
15,beaconingMessages,268.228,262.183778193558,274.272221806442,RMYSMessages,47.677,47.0832569214605,48.2707430785395,PDTMessages,46.675,46.0814099470173,47.2685900529827,PDT1Messages,6.747,6.6688210320764,6.8251789679236,PDTNeighborsRatio,8.15898253968254,8.12663867437383,8.19132640499124,RMYSNeighborsRatio,8.34206468253968,8.30884104015893,8.37528832492043,PDT1NeighborsRatio,1.18279047619048,1.18017198676584,1.18540896561512
16,beaconingMessages,291.414,284.317839393226,298.510160606774,RMYSMessages,48.323,47.7266293889588,48.9193706110412,PDTMessages,47.319,46.7228015084367,47.9151984915633,PDT1Messages,6.808,6.72859856388201,6.88740143611799,PDTNeighborsRatio,8.19141677489176,8.15768199258976,8.22515155719375,RMYSNeighborsRatio,8.3730945887446,8.33839764639069,8.4077915310985,PDT1NeighborsRatio,1.1810670995671,1.17844794538279,1.18368625375142
