3 42 UDG 3.292 3.17134497260702 3.41265502739298 GG 2.512 2.43081453812905 2.59318546187095 PDT 2.844 2.75208189272619 2.93591810727381 GG/UDG 0.810002380952381 0.791544796787576 0.828459965117187 PDT/UDG 0.895233333333334 0.881548842783681 0.908917823882988 BFP 3.528 3.44534393929542 3.61065606070458 rPDT 3.844 3.75208189272619 3.93591810727381 BFP/GG 1.4773 1.45531987432336 1.49928012567664 rPDT/PDT 1.4165 1.39865252249632 1.43434747750368
4 56 UDG 3.782 3.64311699454865 3.92088300545135 GG 2.588 2.50585490581173 2.67014509418827 PDT 3.036 2.9386014488157 3.1333985511843 GG/UDG 0.741845526695527 0.721744649455625 0.761946403935429 PDT/UDG 0.842739177489178 0.826570361415705 0.858907993562652 BFP 3.62 3.53594364557037 3.70405635442963 rPDT 4.036 3.9386014488157 4.1333985511843 BFP/GG 1.4695 1.44669964481563 1.49230035518437 rPDT/PDT 1.39213333333334 1.37464587985972 1.40962078680696
5 70 UDG 4.61 4.43473829488448 4.78526170511552 GG 2.806 2.71489208220577 2.89710791779423 PDT 3.45 3.33983823530825 3.56016176469175 GG/UDG 0.667608674658675 0.647809969253305 0.687407380064045 PDT/UDG 0.792245204795206 0.776038881791301 0.808451527799111 BFP 3.874 3.77999663454535 3.96800336545465 rPDT 4.45 4.33983823530825 4.56016176469175 BFP/GG 1.45633333333333 1.42914981421523 1.48351685245144 rPDT/PDT 1.34665476190476 1.33048518483959 1.36282433896994
6 84 UDG 5.092 4.90376782051094 5.28023217948906 GG 2.882 2.79039957247261 2.97360042752739 PDT 3.608 3.49457928603998 3.72142071396002 GG/UDG 0.624708696858698 0.604851711793726 0.644565681923669 PDT/UDG 0.754428438228439 0.737464434128017 0.771392442328861 BFP 3.994 3.89568830687655 4.09231169312345 rPDT 4.608 4.49457928603998 4.72142071396002 BFP/GG 1.45606666666667 1.42883200983871 1.48330132349463 rPDT/PDT 1.32883095238095 1.31359337081924 1.34406853394266
7 99 UDG 6.194 5.97771750351728 6.41028249648272 GG 3.094 3.0037052867284 3.1842947132716 PDT 4.086 3.96701640847243 4.20498359152757 GG/UDG 0.550874136974137 0.533036768748961 0.568711505199314 PDT/UDG 0.704387773337774 0.687791508033346 0.720984038642202 BFP 4.222 4.12579150780103 4.31820849219897 rPDT 5.086 4.96701640847243 5.20498359152757 BFP/GG 1.42318571428572 1.39795051646039 1.44842091211105 rPDT/PDT 1.28362619047619 1.27147062044325 1.29578176050913
8 113 UDG 7.16 6.91216421953237 7.40783578046763 GG 3.23 3.14090727347308 3.31909272652692 PDT 4.25 4.1355957553235 4.3644042446765 GG/UDG 0.504978331309215 0.487481540366677 0.522475122251752 PDT/UDG 0.643376012223071 0.626849599781719 0.659902424664423 BFP 4.406 4.30771957242258 4.50428042757742 rPDT 5.25 5.1355957553235 5.3644042446765 BFP/GG 1.41300476190476 1.38860552506344 1.43740399874609 rPDT/PDT 1.26670952380953 1.25611266603107 1.27730638158798
9 127 UDG 8.088 7.83431426902721 8.34168573097279 GG 3.496 3.40232987953034 3.58967012046966 PDT 4.69 4.57142728948025 4.80857271051975 GG/UDG 0.47287124313595 0.4572995293622 0.4884429569097 PDT/UDG 0.621287449152155 0.605302912130498 0.637271986173812 BFP 4.684 4.58359350229791 4.78440649770209 rPDT 5.69 5.57142728948025 5.80857271051975 BFP/GG 1.39637142857143 1.36538176988375 1.42736108725911 rPDT/PDT 1.23736666666667 1.22867312291482 1.24606021041852
10 141 UDG 8.9 8.62534811560814 9.17465188439186 GG 3.498 3.40174041103765 3.59425958896235 PDT 4.798 4.67252337784591 4.92347662215409 GG/UDG 0.433442479690933 0.418213789491472 0.448671169890393 PDT/UDG 0.578688966004756 0.563311598076025 0.594066333933486 BFP 4.762 4.65705829799741 4.86694170200259 rPDT 5.798 5.67252337784591 5.92347662215409 BFP/GG 1.42364761904762 1.391349706113 1.45594553198225 rPDT/PDT 1.23461507936508 1.22507726071302 1.24415289801714
11 155 UDG 9.638 9.35247224804023 9.92352775195977 GG 3.512 3.41606581829608 3.60793418170392 PDT 4.896 4.7764180243147 5.0155819756853 GG/UDG 0.403422266948738 0.388246692875138 0.418597841022339 PDT/UDG 0.549118914092444 0.533741942939472 0.564495885245415 BFP 4.78 4.67497618403429 4.88502381596571 rPDT 5.896 5.7764180243147 6.0155819756853 BFP/GG 1.42172380952381 1.3906352561094 1.45281236293823 rPDT/PDT 1.2249880952381 1.21754199272639 1.2324341977498
12 169 UDG 10.828 10.5290705564666 11.1269294435334 GG 3.602 3.50647755453717 3.69752244546283 PDT 5.15 5.03307158429193 5.26692841570807 GG/UDG 0.358830555761749 0.346910756736148 0.370750354787349 PDT/UDG 0.506406687086563 0.493375426490603 0.519437947682523 BFP 4.93 4.82289357666321 5.03710642333679 rPDT 6.15 6.03307158429193 6.26692841570807 BFP/GG 1.43484047619048 1.39728537663158 1.47239557574938 rPDT/PDT 1.20969682539683 1.20396630885084 1.21542734194281
13 183 UDG 11.94 11.6167437652883 12.2632562347117 GG 3.682 3.59019848757673 3.77380151242327 PDT 5.178 5.06390456323235 5.29209543676765 GG/UDG 0.333792781953693 0.32240019648414 0.345185367423245 PDT/UDG 0.465021406178662 0.452037912866626 0.478004899490698 BFP 5.046 4.94484105996601 5.14715894003399 rPDT 6.178 6.06390456323235 6.29209543676765 BFP/GG 1.42428571428572 1.39400965913391 1.45456176943753 rPDT/PDT 1.20825714285714 1.20208500154021 1.21442928417407
