18,254,17,4,7,1,4,0,1,7,-3401941414912153152,Node(132)
18,254,17,3,5,1,3,0,1,5,3787708070061499975,Node(223)
18,254,16,4,5,1,4,0,1,5,994261584190755973,Node(141)
18,254,18,4,5,1,4,0,1,5,7374428123017134873,Node(30)
18,254,11,3,3,1,3,0,1,3,-6984160015211449038,Node(19)
18,254,9,2,3,1,2,0,1,3,-7593211599673528709,Node(138)
18,254,12,3,4,1,3,0,1,4,-5846719251618015458,Node(128)
18,254,17,5,6,1,5,0,1,6,6678082976787842112,Node(24)
18,254,18,5,6,1,5,0,1,6,3919848076361011522,Node(193)
18,254,25,5,6,1,5,0,1,6,2770971229885599525,Node(78)
18,254,18,4,5,1,4,0,1,5,940438757364307135,Node(222)
18,254,17,5,6,1,5,0,1,6,-959508018099149697,Node(30)
18,254,14,3,5,1,3,0,1,5,9086261276013266746,Node(171)
18,254,20,5,6,1,5,0,1,6,6751284464301668724,Node(65)
18,254,16,3,5,1,3,0,1,5,-3463120329632639651,Node(17)
18,254,18,3,6,1,3,0,1,6,-698248314796251347,Node(9)
18,254,29,4,7,1,5,1,1,7,-5244413639494837121,Node(242)
18,254,13,2,5,1,3,1,1,5,-8272534484693422668,Node(140)
18,254,16,4,6,1,4,0,1,6,7814102106015913120,Node(65)
18,254,20,3,8,1,4,1,1,8,-3791838000339343130,Node(21)
18,254,15,3,5,1,4,1,1,5,1816672971647739952,Node(184)
18,254,18,2,7,1,2,0,1,7,654861616160290568,Node(84)
18,254,16,3,3,1,3,0,1,3,8491148850703617561,Node(33)
18,254,30,4,7,1,4,0,1,7,6097468051464137636,Node(1)
18,254,20,4,5,1,4,0,1,5,-3778911570166271294,Node(244)
18,254,22,4,4,1,4,0,1,4,4041187999268895524,Node(173)
18,254,17,4,4,1,4,0,1,4,3211587009396030113,Node(152)
18,254,18,4,4,1,4,0,1,4,3134435979228164720,Node(161)
18,254,15,2,4,1,4,2,1,4,-6358079102805776242,Node(26)
18,254,19,6,7,1,6,0,1,7,4395830303357559865,Node(57)
18,254,14,2,4,1,2,0,1,4,-8599314353347741847,Node(115)
18,254,22,3,4,1,4,1,1,4,3886941548630008750,Node(227)
18,254,19,4,4,1,4,0,1,4,-6754703092998153033,Node(65)
18,254,22,5,5,1,5,0,1,5,-4352148763885188661,Node(226)
18,254,20,3,6,1,4,1,1,6,3750958775298537516,Node(96)
18,254,12,4,7,1,5,1,1,7,4742963252690659510,Node(15)
18,254,19,4,6,1,5,1,1,6,-2651964875451180822,Node(218)
18,254,11,3,4,1,3,0,1,4,551967766035111365,Node(254)
18,254,13,4,5,1,4,0,1,5,6852249603852141578,Node(114)
18,254,8,2,3,1,2,0,1,3,-6966584060360687775,Node(167)
18,254,17,2,5,1,2,0,1,5,-2900812668500159958,Node(131)
18,254,23,4,8,1,5,1,1,8,-8502003381935783883,Node(13)
18,254,12,2,3,1,2,0,1,3,-7252097716093716734,Node(124)
18,254,16,3,5,1,4,1,1,5,5542785247498367259,Node(123)
18,254,27,5,5,1,5,0,1,5,-2714404822955540501,Node(90)
18,254,17,3,6,1,4,1,1,6,5106336816976681622,Node(239)
18,254,16,3,3,1,3,0,1,3,7824378171518881194,Node(189)
18,254,21,2,7,1,4,2,1,7,-6865233659776033117,Node(41)
18,254,16,4,6,1,4,0,1,6,5930458068534593380,Node(45)
18,254,17,5,6,1,5,0,1,6,-6554513783835012011,Node(40)
18,254,23,4,5,1,4,0,1,5,-1152896826570673945,Node(194)
18,254,19,4,6,1,4,0,1,6,2652145400503749137,Node(245)
18,254,18,5,6,1,5,0,1,6,-2616721888846008605,Node(52)
18,254,19,4,7,1,4,0,1,7,-1556366324454528547,Node(110)
18,254,23,2,8,1,4,2,1,8,-7030932263000078405,Node(221)
18,254,14,2,5,1,4,2,1,5,-2742308144697185014,Node(105)
18,254,17,4,5,1,4,0,1,5,-6096815171880847695,Node(169)
18,254,31,6,6,1,6,0,1,6,-7208965688838434905,Node(149)
18,254,9,3,3,1,3,0,1,3,-5148159512748728717,Node(63)
18,254,13,4,5,1,4,0,1,5,8475987247064863534,Node(12)
18,254,11,3,4,1,3,0,1,4,1053364199573614752,Node(231)
18,254,15,5,6,1,5,0,1,6,6100880957767734570,Node(120)
18,254,19,3,4,1,4,1,1,4,-4060466478740153072,Node(54)
18,254,12,2,4,1,2,0,1,4,-2892163602008113047,Node(61)
18,254,10,4,5,1,4,0,1,5,4710466961474133779,Node(2)
18,254,23,4,5,1,4,0,1,5,5964354378880662844,Node(127)
18,254,14,3,5,1,4,1,1,5,-8588854607213506511,Node(93)
18,254,20,3,5,1,3,0,1,5,423748983531044848,Node(20)
18,254,18,5,6,1,5,0,1,6,1626625311761112962,Node(50)
18,254,29,3,5,1,4,1,1,5,-772683075461108232,Node(84)
18,254,24,3,5,1,4,1,1,5,74421542059553974,Node(39)
18,254,24,6,10,1,6,0,1,10,-8795787640600010803,Node(72)
18,254,17,4,5,1,4,0,1,5,-5626554131253436589,Node(243)
18,254,31,4,7,1,5,1,1,7,3601876903707535142,Node(156)
18,254,16,3,5,1,3,0,1,5,-1217957600358545562,Node(159)
18,254,14,3,5,1,3,0,1,5,-4927063476199505649,Node(134)
18,254,23,5,6,1,5,0,1,6,1432389037797179790,Node(210)
18,254,18,3,5,1,3,0,1,5,-1487795176869733969,Node(84)
18,254,18,4,4,1,4,0,1,4,-8966709473579256246,Node(68)
18,254,13,5,7,1,5,0,1,7,2975034418218809092,Node(134)
18,254,22,5,6,1,5,0,1,6,2871695941898765646,Node(186)
