Density 5 with 16 data samples:
Number_of_Nodes,159,159,159
averageUDGNeighbors,4.52044025157233,4.3670490995254,4.67383140361926
euklidRatioRMYS,1.30904654416213,1.29173318170166,1.3263599066226
hopRatioRMYS,3,3,3
euklidRatioPDT,1.30904654416213,1.29173318170166,1.3263599066226
hopRatioPDT,3,3,3
averageRMYSNeighbors,3.37735849056604,3.32188679245283,3.43283018867925
averagePDTNeighbors,3.37735849056604,3.32188679245283,3.43283018867925
maximalRMYSNeighbors,7,6.65351767721859,7.34648232278141
maximalPDTNeighbors,7,6.65351767721859,7.34648232278141
neighborsCountRMYSUDGRatio,0.79564421427629,0.782499734375415,0.808788694177164
neighborsCountPDTUDGRatio,0.79564421427629,0.782499734375415,0.808788694177164
Density 6 with 16 data samples:
Number_of_Nodes,191,191,191
averageUDGNeighbors,5.5032722513089,5.35971080092288,5.64683370169492
euklidRatioRMYS,1.32592413919114,1.31226254882213,1.33958572956015
hopRatioRMYS,3.0625,2.9438898850224,3.1811101149776
euklidRatioPDT,1.32592413919114,1.31226254882213,1.33958572956015
hopRatioPDT,3.0625,2.9438898850224,3.1811101149776
averageRMYSNeighbors,3.73821989528796,3.6772939515953,3.79914583898061
averagePDTNeighbors,3.73887434554974,3.67847816956154,3.79927052153794
maximalRMYSNeighbors,7.6875,7.23844935210491,8.13655064789509
maximalPDTNeighbors,7.75,7.27555954008959,8.22444045991041
neighborsCountRMYSUDGRatio,0.730645965618151,0.722900334897358,0.738391596338944
neighborsCountPDTUDGRatio,0.730705956892148,0.723009273056021,0.738402640728275
Density 7 with 16 data samples:
Number_of_Nodes,223,223,223
averageUDGNeighbors,6.3542600896861,6.21893365553041,6.48958652384179
euklidRatioRMYS,1.33116145844819,1.31394779704529,1.3483751198511
hopRatioRMYS,3.1875,2.99624693629905,3.37875306370095
euklidRatioPDT,1.33116145844819,1.31394779704529,1.3483751198511
hopRatioPDT,3.1875,2.99624693629905,3.37875306370095
averageRMYSNeighbors,4.08688340807175,4.05085427524644,4.12291254089706
averagePDTNeighbors,4.08688340807175,4.05085427524644,4.12291254089706
maximalRMYSNeighbors,7.8125,7.45666965506719,8.16833034493281
maximalPDTNeighbors,7.8125,7.45666965506719,8.16833034493281
neighborsCountRMYSUDGRatio,0.688887741322579,0.678635565302491,0.699139917342666
neighborsCountPDTUDGRatio,0.688887741322579,0.678635565302491,0.699139917342666
Density 8 with 16 data samples:
Number_of_Nodes,255,255,255
averageUDGNeighbors,7.22205882352941,7.0682659805943,7.37585166646452
euklidRatioRMYS,1.35181320985297,1.33609544509041,1.36753097461553
hopRatioRMYS,3.0625,2.9438898850224,3.1811101149776
euklidRatioPDT,1.35181320985297,1.33609544509041,1.36753097461553
hopRatioPDT,3.0625,2.9438898850224,3.1811101149776
averageRMYSNeighbors,4.36127450980392,4.31748827336879,4.40506074623906
averagePDTNeighbors,4.36127450980392,4.31748827336879,4.40506074623906
maximalRMYSNeighbors,8.25,7.8825,8.6175
maximalPDTNeighbors,8.25,7.8825,8.6175
neighborsCountRMYSUDGRatio,0.647799473310395,0.638651478886681,0.656947467734109
neighborsCountPDTUDGRatio,0.647799473310395,0.638651478886681,0.656947467734109
Density 9 with 16 data samples:
Number_of_Nodes,286,286,286
averageUDGNeighbors,8.25131118881119,8.13786839113917,8.3647539864832
euklidRatioRMYS,1.34831355973563,1.33733385237842,1.35929326709284
hopRatioRMYS,3.5,3.255,3.745
euklidRatioPDT,1.34831355973563,1.33733385237842,1.35929326709284
hopRatioPDT,3.5,3.255,3.745
averageRMYSNeighbors,4.6097027972028,4.57663106552192,4.64277452888368
averagePDTNeighbors,4.6097027972028,4.57663106552192,4.64277452888368
maximalRMYSNeighbors,8.6875,8.35342069148928,9.02157930851072
maximalPDTNeighbors,8.6875,8.35342069148928,9.02157930851072
neighborsCountRMYSUDGRatio,0.603408895107837,0.596517586624033,0.61030020359164
neighborsCountPDTUDGRatio,0.603408895107837,0.596517586624033,0.61030020359164
Density 10 with 16 data samples:
Number_of_Nodes,318,318,318
averageUDGNeighbors,9.17374213836478,9.06086869734498,9.28661557938458
euklidRatioRMYS,1.36102975322751,1.3503838977571,1.37167560869791
hopRatioRMYS,3.5625,3.31942159829594,3.80557840170406
euklidRatioPDT,1.36102975322751,1.3503838977571,1.37167560869791
hopRatioPDT,3.5625,3.31942159829594,3.80557840170406
averageRMYSNeighbors,4.80581761006289,4.77484869102552,4.83678652910026
averagePDTNeighbors,4.80581761006289,4.77484869102552,4.83678652910026
maximalRMYSNeighbors,9.125,8.96294773219729,9.28705226780271
maximalPDTNeighbors,9.125,8.96294773219729,9.28705226780271
neighborsCountRMYSUDGRatio,0.565727746388793,0.558783104951618,0.572672387825968
neighborsCountPDTUDGRatio,0.565727746388793,0.558783104951618,0.572672387825968
Density 11 with 16 data samples:
Number_of_Nodes,350,350,350
averageUDGNeighbors,10.0517857142857,9.92319714801717,10.1803742805543
euklidRatioRMYS,1.35722803320568,1.34333832604907,1.37111774036229
hopRatioRMYS,3.8125,3.62124693629905,4.00375306370095
euklidRatioPDT,1.35722803320568,1.34333832604907,1.37111774036229
hopRatioPDT,3.8125,3.62124693629905,4.00375306370095
averageRMYSNeighbors,4.97107142857143,4.9394477131825,5.00269514396036
averagePDTNeighbors,4.97107142857143,4.9394477131825,5.00269514396036
maximalRMYSNeighbors,8.9375,8.66529904596971,9.20970095403029
maximalPDTNeighbors,8.9375,8.66529904596971,9.20970095403029
neighborsCountRMYSUDGRatio,0.535097359186523,0.529734080919893,0.540460637453153
