Density 5:
Number_of_Nodes 192 192 192
Barriere_spanningratio 1.77210772475781 1.75670228160982 1.78751316790579
Barriere_spanningratio_shortest 1.7406563527104 1.72640085804216 1.75491184737864
BarriereExt_spanningratio 1.50026868893503 1.48481116170717 1.51572621616289
BarriereExt_spanningratio_shortest 1.47273641285921 1.45809988272867 1.48737294298976
Barriere_sent_messages 3405.418 3390.04405703232 3420.79194296768
BarriereExt_sent_messages 7880.776 7812.40377994697 7949.14822005303
BarriereExt_sent_messages_no_witness 3457.044 3440.96954347975 3473.11845652025
Barriere_max_hops 2
BarriereExt_max_hops 3
Barriere_sr_improvement 19.150542742896 17.8984784844887 20.4026070013032
Density 6:
Number_of_Nodes 231 231 231
Barriere_spanningratio 1.79638104438614 1.78230048744815 1.81046160132412
Barriere_spanningratio_shortest 1.76480125949099 1.75163297031213 1.77796954866984
BarriereExt_spanningratio 1.51622942590715 1.50239736073293 1.53006149108137
BarriereExt_spanningratio_shortest 1.48330622718998 1.47029756193829 1.49631489244167
Barriere_sent_messages 5010.46 4988.37469696984 5032.54530303016
BarriereExt_sent_messages 13052.796 12943.7766647539 13161.8153352461
BarriereExt_sent_messages_no_witness 5112.684 5089.13278025656 5136.23521974344
Barriere_max_hops 2
BarriereExt_max_hops 3
Barriere_sr_improvement 19.4059743256293 18.1935628245609 20.6183858266978
Density 7:
Number_of_Nodes 269 269 269
Barriere_spanningratio 1.82183695341635 1.80854893570054 1.83512497113215
Barriere_spanningratio_shortest 1.78094692839228 1.76937564036295 1.79251821642161
BarriereExt_spanningratio 1.55550315485526 1.54190160926852 1.569104700442
BarriereExt_spanningratio_shortest 1.5088178585361 1.49571438545002 1.52192133162217
Barriere_sent_messages 6902.45 6874.93506351283 6929.96493648717
BarriereExt_sent_messages 19796.224 19645.7624401391 19946.6855598609
BarriereExt_sent_messages_no_witness 7078.124 7048.51071958104 7107.73728041896
Barriere_max_hops 2
BarriereExt_max_hops 3
Barriere_sr_improvement 18.0137800737992 16.8421331052948 19.1854270423036
Density 8:
Number_of_Nodes 308 308 308
Barriere_spanningratio 1.85553416783182 1.84213285726854 1.8689354783951
Barriere_spanningratio_shortest 1.80910065467416 1.79721548736171 1.8209858219866
BarriereExt_spanningratio 1.55933174542338 1.54586349731335 1.5727999935334
BarriereExt_spanningratio_shortest 1.50674806743637 1.49437222677087 1.51912390810187
Barriere_sent_messages 9198.296 9162.9508591716 9233.6411408284
BarriereExt_sent_messages 28749 28545.4353773981 28952.5646226019
BarriereExt_sent_messages_no_witness 9478.848 9439.78098963001 9517.91501036999
Barriere_max_hops 2
BarriereExt_max_hops 3
Barriere_sr_improvement 19.834273908814 18.6992785146879 20.9692693029402
Density 9:
Number_of_Nodes 346 346 346
Barriere_spanningratio 1.85391542977933 1.84210463043897 1.86572622911969
Barriere_spanningratio_shortest 1.81741194864756 1.80700427770793 1.82781961958719
BarriereExt_spanningratio 1.56380462758126 1.55171253452276 1.57589672063976
BarriereExt_spanningratio_shortest 1.50723810838087 1.49649010969 1.51798610707174
Barriere_sent_messages 11802.696 11762.5768642688 11842.8151357312
BarriereExt_sent_messages 39631.46 39388.0719717834 39874.8480282166
BarriereExt_sent_messages_no_witness 12227.396 12182.7584552272 12272.0335447728
Barriere_max_hops 2
BarriereExt_max_hops 4
Barriere_sr_improvement 19.2458533650818 18.2257961066324 20.2659106235312
Density 10:
Number_of_Nodes 384 384 384
Barriere_spanningratio 1.86218334911416 1.85124353645757 1.87312316177074
Barriere_spanningratio_shortest 1.82352726228432 1.81398406945334 1.8330704551153
BarriereExt_spanningratio 1.56772677794779 1.55661258673184 1.57884096916374
BarriereExt_spanningratio_shortest 1.50274846357264 1.49299752939029 1.512499397755
Barriere_sent_messages 14828.208 14779.8821738027 14876.5338261973
BarriereExt_sent_messages 53193.912 52880.5916556756 53507.2323443244
BarriereExt_sent_messages_no_witness 15433.816 15379.3908613009 15488.2411386991
Barriere_max_hops 2
BarriereExt_max_hops 3
Barriere_sr_improvement 19.4650462163636 18.442466423912 20.4876260088151
Density 11:
Number_of_Nodes 423 423 423
Barriere_spanningratio 1.8824579676016 1.87201627066056 1.89289966454264
Barriere_spanningratio_shortest 1.84443012769715 1.83533876885511 1.85352148653919
BarriereExt_spanningratio 1.56103476694102 1.54974090668122 1.57232862720081
BarriereExt_spanningratio_shortest 1.49329716095745 1.48345682435204 1.50313749756285
Barriere_sent_messages 18297.908 18239.6551492222 18356.1608507778
BarriereExt_sent_messages 69734.456 69351.4107683956 70117.5012316045
BarriereExt_sent_messages_no_witness 19143.524 19077.904081103 19209.143918897
Barriere_max_hops 2
BarriereExt_max_hops 4
Barriere_sr_improvement 21.2530297870084 20.2844869410638 22.2215726329529
Density 12:
Number_of_Nodes 461 461 461
Barriere_spanningratio 1.88653041074594 1.87666174770284 1.89639907378904
Barriere_spanningratio_shortest 1.85463438028514 1.8460104467601 1.86325831381017
BarriereExt_spanningratio 1.56727765328322 1.55605405543597 1.57850125113048
BarriereExt_spanningratio_shortest 1.50056377535423 1.49087449555677 1.5102530551517
Barriere_sent_messages 22056.084 21992.1170632708 22120.0509367292
BarriereExt_sent_messages 88544.332 88098.6169465492 88990.0470534508
BarriereExt_sent_messages_no_witness 23179.756 23107.1210230169 23252.3909769831
Barriere_max_hops 2
BarriereExt_max_hops 4
Barriere_sr_improvement 21.005005132323 20.0767458177399 21.9332644469061
Density 13:
Number_of_Nodes 499 499 499
Barriere_spanningratio 1.89208641397098 1.88170084727386 1.90247198066809
